序号,标签一,标签二,标签三,标题,简介
1,大佬,千金,先婚后爱,《闪婚后大佬每天在线真香》,商业联姻当天，金融巨鳄傅沉舟甩给苏璃离婚协议："三年后自动解除关系，别妄想得到我的心。"苏璃含笑签字，转头用嫁妆创立科技公司，半年后市值碾压傅氏子公司。当她在拍卖会挽着顶流影帝竞标地皮时，傅沉舟疯砸百亿截胡，深夜抵着门缝哑声："傅太太的位置永远是你的。"她反手甩出新拟的《分居条约》投影在金融峰会大屏："傅总，契约精神呢？"次日头条惊爆#傅氏掌权人冒雨跪守苏氏大楼#，男人举着被雨淋透的协议嘶喊："第一百条已修订——乙方必须爱上甲方！"
2,大佬,千金,破镜重圆,《千金归来：大佬的白月光杀疯了》,五年前阮家破产夜，厉墨琛亲手将阮清音送进监狱："你父亲欠的债，用牢狱还。"五年后出狱，她化身华尔街黑玫瑰归来，却在厉氏收购案签约仪式上，被他当众扯开衣领露出锁骨烙印："这疤是为我挡刀留的，还想装陌生人？"她笑着点燃收购合同："厉总认错人了，您白月光正在精神病院等您呢。"火光中他展开带血婚书："监狱结婚登记处签的字，需要我帮厉太太回忆吗？"
3,大佬,千金,青梅竹马,《偏宠青梅：大佬的千金小祖宗》,陆珩给邻家小千金当了十年人形座椅——她写作业坐他腿，吃蛋糕坐他肩，连看星星都要骑在他脖子上。十八岁生日宴，她挽着学长共舞，陆珩当众扛走人："我暖了十年的位置，谁准你让别人碰？"露台月光下她咬他喉结："哥哥管这么宽？"他反手锁住阳台门："叫错了，是未婚夫。"次日头条爆#陆氏继承人豪掷十亿买断小千金桃花#，附赠全网直播的《青梅饲养守则》："第一条：视线离开超三秒需支付违约金；第一百条：终身归属权归饲养员所有。"
4,大佬,千金,追妻火葬场,《退婚后，大佬的榴莲键盘跪穿了》,贺肆为白月光逼阮清音流产那夜，她攥着孕检单跳海失踪。三年后法庭对峙，她作为敌国商务代表将他逼入绝境："贺总，您未婚妻的走私证据够判无期了。"他当庭砸碎价值百亿的婚戒盒："用这个换她自由，够不够？"她高跟鞋碾过钻石碎渣："不如试试跪穿榴莲键盘——就像当年我跪在手术台前求你那样。"次日财经报头版#贺氏继承人街头跪榴莲直播#，身后LED屏滚动忏悔："第一百零一次求婚：命给你，孩子归我养。"
5,大佬,公主,先婚后爱,《和亲协议：大佬的公主娇又野》,为换故国稀土矿，茜茜公主被迫嫁给中东军火商霍凛。新婚夜他推来电子协议："第88条：禁止爱上甲方。"她按下指纹，转身在沙漠飙车导致霍氏导弹系统失控。当霍凛的装甲车横截沙丘时，她正用激光笔在夜空投射条款："违约者需献祭真心——"他突然扛起人压向车引擎盖："现在就取。"卫星电话里传来敌国元首怒吼："霍凛！你为追妻炸我油田？！"她咬着他喉结轻笑："协议追加条款——公主的敌人，由我歼灭。"
6,大佬,公主,破镜重圆,《失忆后，大佬的公主马甲掉了》,游轮爆炸令王室明珠艾琳娜记忆清零，三年后她化身战地记者潜入金三角，镜头里惊现封枭染血的脊背——当年为她挡枪留下的弹孔已成枭雄勋章。他当众撕开她防护服露出肩胛王室鸢尾纹："偷走我半条命的小公主，该回家了。"她枪口抵住他心脏："我只要杀父仇人的头颅。"他笑着按下引爆器，远处毒枭基地冲天火光："聘礼够吗？不够再加我的命。"
7,大佬,公主,青梅竹马,《宠坏青梅：大佬的公主养成手册》,厉沉舟给敌国小公主当了十年人盾——她学步他当肉垫，她遇刺他挡刀，甚至她初恋都由他亲手调教。及笄礼上，她牵着别国王子宣布联姻，厉沉舟当众掀翻婚宴："我教出的学生，只能由我验收成果。"地牢铁链作响，他捏着她脚踝烙下家徽："《守护者契约》最后一条——公主终身归属权归人盾所有。"三年后新王登基大典，她当众将王冠戴在他头顶："从今往后，我的疆土与你共享。"
8,大佬,公主,追妻火葬场,《坠海后，大佬给公主当人鱼凳》,傅承渊为救白月光逼苏晚晚抽骨髓，手术台上她掀窗跳海。三年后国际海洋峰会，她坐着人鱼轿辇登场，傅承渊当众跪入浅滩："请踩着我登岸。"她足尖碾过他脊背："傅总当年抽我骨髓时，可没这么卑微。"他反手掏出脊椎植入的追踪器："这里装着你的DNA，踩碎它，我就放你自由。"当晚头条爆#千亿富豪植骨追踪器至瘫痪#，配图他泡在海水里高举婚戒："不做你的岸，就做载你的海。"
9,大佬,妹妹,先婚后爱,《隐婚陷阱：大佬的妹妹太撩人》,家族联姻夜，顾淮之娶了死对头的'妹妹'林晚晚。他甩出协议警告："当好花瓶，别肖想顾太太实权。"三个月后股东大会，她竟以最大股东身份罢免他："哥哥，收购顾氏的陷阱——好玩吗？"他当众撕碎协议抵住她唇："叫老公就饶了你。"她反手亮出股权转让书："叫嫂子，给你留个总监位。"当夜监控拍下#顾总裁跪榴莲念《哄妻守则》#，条款最后一行小字："注：若惹哭妹妹，需用吻偿还。"
10,大佬,妹妹,破镜重圆,《掉马后，大佬的妹妹带球跑了》,七年前厉墨寒的'妹妹'偷怀龙凤胎跑路，七年后萌娃黑进他系统勒索奶粉钱。他追踪到江南小镇踹开门，却见缩小版自己举着DNA报告："厉先生，偷您基因赔五亿，很划算吧？"萌娃突然抱住他大腿："买爹送妈打八折哦！"她持枪冷笑："再加十亿能买你结扎手术单吗？"三天后全球直播的结扎手术台上，他攥着她手按向麻醉剂："生三个够不够？不够我复通。"
